128,1,pd,0.0127222
128,1,pd,0.0127683
128,1,pd,0.0107282
128,1,pd,0.0136938
128,1,pd,0.0128544
128,1,pd,0.0129492
128,1,pd,0.0127042
128,1,pd,0.0132405
128,1,pd,0.0136551
128,1,pd,0.0125457
256,1,pd,0.0512309
256,1,pd,0.0498559
256,1,pd,0.0530251
256,1,pd,0.0488122
256,1,pd,0.0583651
256,1,pd,0.050098
256,1,pd,0.0527163
256,1,pd,0.0494197
256,1,pd,0.0518355
256,1,pd,0.0478568
512,1,pd,0.237442
512,1,pd,0.213686
512,1,pd,0.216268
512,1,pd,0.266813
512,1,pd,0.227141
512,1,pd,0.23467
512,1,pd,0.231976
512,1,pd,0.225721
512,1,pd,0.214188
512,1,pd,0.22138
1024,1,pd,1.10805
1024,1,pd,1.08082
1024,1,pd,1.18825
1024,1,pd,1.0492
1024,1,pd,1.07601
1024,1,pd,1.09746
1024,1,pd,1.06878
1024,1,pd,1.00712
1024,1,pd,1.11575
1024,1,pd,1.07748
2048,1,pd,12.0632
2048,1,pd,13.1303
2048,1,pd,12.7319
2048,1,pd,12.7403
2048,1,pd,12.1205
2048,1,pd,12.8186
2048,1,pd,13.1941
2048,1,pd,12.4132
2048,1,pd,12.6805
2048,1,pd,12.826
4096,1,pd,118.7
4096,1,pd,117.714
4096,1,pd,118.029
4096,1,pd,119.01
4096,1,pd,116.875
4096,1,pd,118.771
4096,1,pd,115.989
4096,1,pd,119.59
4096,1,pd,117.546
4096,1,pd,134.11
128,2,pd,0.0263462
128,2,pd,0.027283
128,2,pd,0.0255283
128,2,pd,0.0280276
128,2,pd,0.0247501
128,2,pd,0.0246046
128,2,pd,0.0218419
128,2,pd,0.0302845
128,2,pd,0.0261866
128,2,pd,0.0265128
256,2,pd,0.110992
256,2,pd,0.0917184
256,2,pd,0.102865
256,2,pd,0.111581
256,2,pd,0.0931022
256,2,pd,0.0970526
256,2,pd,0.086693
256,2,pd,0.119707
256,2,pd,0.10725
256,2,pd,0.0912271
512,2,pd,0.439098
512,2,pd,0.421043
512,2,pd,0.436936
512,2,pd,0.450986
512,2,pd,0.368757
512,2,pd,0.449384
512,2,pd,0.436598
512,2,pd,0.437418
512,2,pd,0.385501
512,2,pd,0.424931
1024,2,pd,1.76221
1024,2,pd,1.62892
1024,2,pd,1.80168
1024,2,pd,1.62646
1024,2,pd,1.64577
1024,2,pd,1.63273
1024,2,pd,1.71366
1024,2,pd,1.62571
1024,2,pd,1.78306
1024,2,pd,1.85398
2048,2,pd,10.1705
2048,2,pd,10.0218
2048,2,pd,9.2308
2048,2,pd,8.35718
2048,2,pd,9.22334
2048,2,pd,9.91004
2048,2,pd,9.69738
2048,2,pd,9.04518
2048,2,pd,10.1308
2048,2,pd,9.28561
4096,2,pd,83.7938
4096,2,pd,68.4132
4096,2,pd,83.1
4096,2,pd,67.2292
4096,2,pd,79.1881
4096,2,pd,66.5924
4096,2,pd,66.9922
4096,2,pd,68.3088
4096,2,pd,79.8203
4096,2,pd,83.8033
128,4,pd,0.0448802
128,4,pd,0.0421281
128,4,pd,0.0370862
128,4,pd,0.0377125
128,4,pd,0.0383594
128,4,pd,0.0379985
128,4,pd,0.0453639
128,4,pd,0.0409095
128,4,pd,0.0345301
128,4,pd,0.0426209
256,4,pd,0.184813
256,4,pd,0.184822
256,4,pd,0.160759
256,4,pd,0.170887
256,4,pd,0.19544
256,4,pd,0.189518
256,4,pd,0.194389
256,4,pd,0.184693
256,4,pd,0.186092
256,4,pd,0.183605
512,4,pd,0.744284
512,4,pd,0.738727
512,4,pd,0.74138
512,4,pd,0.748617
512,4,pd,0.693916
512,4,pd,0.697099
512,4,pd,0.714451
512,4,pd,0.668514
512,4,pd,0.494787
512,4,pd,0.741492
1024,4,pd,2.82646
1024,4,pd,3.29116
1024,4,pd,2.96606
1024,4,pd,2.82623
1024,4,pd,3.00027
1024,4,pd,2.97893
1024,4,pd,2.86036
1024,4,pd,3.6533
1024,4,pd,3.01702
1024,4,pd,2.8929
2048,4,pd,9.7358
2048,4,pd,9.59593
2048,4,pd,9.98928
2048,4,pd,8.79874
2048,4,pd,9.2338
2048,4,pd,9.48135
2048,4,pd,9.09393
2048,4,pd,9.73663
2048,4,pd,8.45392
2048,4,pd,9.25132
4096,4,pd,56.3685
4096,4,pd,57.3354
4096,4,pd,54.4266
4096,4,pd,56.2141
4096,4,pd,57.8179
4096,4,pd,55.3611
4096,4,pd,53.4338
4096,4,pd,54.9308
4096,4,pd,40.5893
4096,4,pd,58.0012
128,6,pd,0.0453455
128,6,pd,0.0466373
128,6,pd,0.0443325
128,6,pd,0.0470751
128,6,pd,0.04289
128,6,pd,0.0456645
128,6,pd,0.042153
128,6,pd,0.0419112
128,6,pd,0.0439423
128,6,pd,0.0445891
256,6,pd,0.190778
256,6,pd,0.180381
256,6,pd,0.18144
256,6,pd,0.183087
256,6,pd,0.196196
256,6,pd,0.183142
256,6,pd,0.183474
256,6,pd,0.19559
256,6,pd,0.181704
256,6,pd,0.189242
512,6,pd,0.747881
512,6,pd,0.810282
512,6,pd,0.751088
512,6,pd,0.750196
512,6,pd,0.764842
512,6,pd,0.802883
512,6,pd,0.779864
512,6,pd,0.777473
512,6,pd,0.740492
512,6,pd,0.738066
1024,6,pd,3.4102
1024,6,pd,3.0378
1024,6,pd,3.06032
1024,6,pd,3.20783
1024,6,pd,3.13788
1024,6,pd,3.59726
1024,6,pd,3.56116
1024,6,pd,3.04881
1024,6,pd,3.2283
1024,6,pd,3.08921
2048,6,pd,10.1303
2048,6,pd,10.7442
2048,6,pd,10.6115
2048,6,pd,10.6785
2048,6,pd,10.6687
2048,6,pd,10.9167
2048,6,pd,10.8798
2048,6,pd,10.2222
2048,6,pd,10.6971
2048,6,pd,10.8297
4096,6,pd,47.5871
4096,6,pd,49.5675
4096,6,pd,58.0603
4096,6,pd,51.8463
4096,6,pd,49.1479
4096,6,pd,48.3517
4096,6,pd,48.2212
4096,6,pd,52.5015
4096,6,pd,49.3766
4096,6,pd,50.8027
128,8,pd,0.0457271
128,8,pd,0.0444984
128,8,pd,0.0463898
128,8,pd,0.0436682
128,8,pd,0.044311
128,8,pd,0.0453043
128,8,pd,0.0449845
128,8,pd,0.0360367
128,8,pd,0.0443741
128,8,pd,0.043233
256,8,pd,0.174127
