128,1,1,0.00127684
128,1,1,0.00125927
128,1,1,0.00125863
128,1,1,0.00125745
128,1,1,0.00125123
128,1,1,0.00126928
128,1,1,0.00124776
128,1,1,0.00126772
128,1,1,0.00128144
128,1,1,0.00129045
256,1,1,0.00738033
256,1,1,0.00712233
256,1,1,0.00719921
256,1,1,0.00712928
256,1,1,0.00713361
256,1,1,0.00727786
256,1,1,0.00724903
256,1,1,0.00733721
256,1,1,0.00714648
256,1,1,0.00710529
512,1,1,0.0645084
512,1,1,0.0643876
512,1,1,0.0643812
512,1,1,0.0643828
512,1,1,0.0644846
512,1,1,0.0644931
512,1,1,0.0654341
512,1,1,0.0645123
512,1,1,0.0644507
512,1,1,0.0644505
1024,1,1,0.485151
1024,1,1,0.487357
1024,1,1,0.486893
1024,1,1,0.491117
1024,1,1,0.487126
1024,1,1,0.483817
1024,1,1,0.491228
1024,1,1,0.488513
1024,1,1,0.486629
1024,1,1,0.480936
2048,1,1,3.80445
2048,1,1,3.83473
2048,1,1,3.80907
2048,1,1,3.83601
2048,1,1,3.80943
2048,1,1,3.84541
2048,1,1,3.8374
2048,1,1,3.83615
2048,1,1,3.80798
2048,1,1,3.83741
4096,1,1,72.1492
4096,1,1,72.2713
4096,1,1,72.2184
4096,1,1,72.2822
4096,1,1,72.2214
4096,1,1,72.5659
4096,1,1,72.472
4096,1,1,72.4526
4096,1,1,72.2851
4096,1,1,72.3593
128,1,2,0.0013719
128,1,2,0.00135866
128,1,2,0.0013644
128,1,2,0.00136311
128,1,2,0.00136557
128,1,2,0.00136869
128,1,2,0.00135978
128,1,2,0.00135602
128,1,2,0.00137024
128,1,2,0.00136284
256,1,2,0.00745878
256,1,2,0.00737832
256,1,2,0.00736756
256,1,2,0.00738444
256,1,2,0.00743409
256,1,2,0.00760959
256,1,2,0.0075735
256,1,2,0.00762598
256,1,2,0.00776253
256,1,2,0.00743364
512,1,2,0.0620698
512,1,2,0.0619314
512,1,2,0.0620514
512,1,2,0.0619312
512,1,2,0.0618798
512,1,2,0.0619821
512,1,2,0.0619333
512,1,2,0.0617786
512,1,2,0.0617624
512,1,2,0.0619062
1024,1,2,0.502914
1024,1,2,0.495632
1024,1,2,0.494815
1024,1,2,0.497347
1024,1,2,0.497428
1024,1,2,0.500928
1024,1,2,0.501382
1024,1,2,0.502221
1024,1,2,0.495722
1024,1,2,0.493987
2048,1,2,4.99449
2048,1,2,4.96624
2048,1,2,5.00554
2048,1,2,5.01159
2048,1,2,5.00769
2048,1,2,5.01285
2048,1,2,4.96514
2048,1,2,4.99119
2048,1,2,5.00462
2048,1,2,4.98462
4096,1,2,66.9877
4096,1,2,66.9653
4096,1,2,66.9858
4096,1,2,66.949
4096,1,2,67.0153
4096,1,2,66.9771
4096,1,2,67.0056
4096,1,2,67.0084
4096,1,2,66.9993
4096,1,2,66.9656
128,1,4,0.00425381
128,1,4,0.0040512
128,1,4,0.00431187
128,1,4,0.00473352
128,1,4,0.00416943
128,1,4,0.00427717
128,1,4,0.00415069
128,1,4,0.00453216
128,1,4,0.00431291
128,1,4,0.00441624
256,1,4,0.0137936
256,1,4,0.0136499
256,1,4,0.0138758
256,1,4,0.0138705
256,1,4,0.0137506
256,1,4,0.0134682
256,1,4,0.0135781
256,1,4,0.0136376
256,1,4,0.0138475
256,1,4,0.0140581
512,1,4,0.0748943
512,1,4,0.0749876
512,1,4,0.0747607
512,1,4,0.0751274
512,1,4,0.0750666
512,1,4,0.0748439
512,1,4,0.0749484
512,1,4,0.074644
512,1,4,0.0750508
512,1,4,0.0748337
1024,1,4,0.527473
1024,1,4,0.53004
1024,1,4,0.523286
1024,1,4,0.518982
1024,1,4,0.499943
1024,1,4,0.517469
1024,1,4,0.522644
1024,1,4,0.524798
1024,1,4,0.528851
1024,1,4,0.519133
2048,1,4,4.98707
2048,1,4,4.98392
2048,1,4,4.97122
2048,1,4,5.00017
2048,1,4,4.9915
2048,1,4,4.99795
2048,1,4,4.98146
2048,1,4,5.01912
2048,1,4,4.97975
2048,1,4,5.0021
4096,1,4,66.3682
4096,1,4,66.3401
4096,1,4,66.2564
4096,1,4,66.1984
4096,1,4,66.2697
4096,1,4,66.5851
4096,1,4,66.4609
4096,1,4,66.4024
4096,1,4,66.3775
4096,1,4,66.2548
128,1,8,0.0086592
128,1,8,0.00884829
128,1,8,0.00836437
128,1,8,0.00840897
128,1,8,0.00864455
128,1,8,0.0087001
128,1,8,0.00812322
128,1,8,0.00850865
128,1,8,0.00848852
128,1,8,0.0083487
256,1,8,0.0217713
256,1,8,0.0220417
256,1,8,0.0216137
256,1,8,0.0218467
256,1,8,0.0223996
256,1,8,0.0222383
256,1,8,0.0216104
256,1,8,0.0221115
256,1,8,0.0217706
256,1,8,0.0216882
512,1,8,0.0912516
512,1,8,0.091338
512,1,8,0.0916757
512,1,8,0.0917727
512,1,8,0.0915207
512,1,8,0.0912869
512,1,8,0.0921404
512,1,8,0.0914627
512,1,8,0.0917199
512,1,8,0.0914955
1024,1,8,0.56657
1024,1,8,0.556925
1024,1,8,0.565328
1024,1,8,0.567624
1024,1,8,0.567967
1024,1,8,0.558362
1024,1,8,0.557839
1024,1,8,0.564649
1024,1,8,0.557933
1024,1,8,0.557296
2048,1,8,5.11992
2048,1,8,5.04742
2048,1,8,5.06227
2048,1,8,5.05301
2048,1,8,5.0877
2048,1,8,5.05362
2048,1,8,5.09004
2048,1,8,5.09536
2048,1,8,5.08009
2048,1,8,5.0884
4096,1,8,66.1742
4096,1,8,66.1282
4096,1,8,66.1807
4096,1,8,66.2337
4096,1,8,66.1106
4096,1,8,66.2724
4096,1,8,66.2718
4096,1,8,66.1694
4096,1,8,66.2392
4096,1,8,66.1848
128,1,16,0.0161435
128,1,16,0.0160421
128,1,16,0.0162793
128,1,16,0.0161368
128,1,16,0.0161034
128,1,16,0.0162067
128,1,16,0.0162927
128,1,16,0.0163096
128,1,16,0.0162465
128,1,16,0.0162783
256,1,16,0.0378508
256,1,16,0.0375353
256,1,16,0.0376322
256,1,16,0.0373749
256,1,16,0.0376814
256,1,16,0.0374596
256,1,16,0.0377026
256,1,16,0.0372394
256,1,16,0.0374788
256,1,16,0.0379962
512,1,16,0.122919
512,1,16,0.123381
512,1,16,0.122698
512,1,16,0.123154
512,1,16,0.122396
512,1,16,0.12304
512,1,16,0.122721
512,1,16,0.123094
512,1,16,0.123804
512,1,16,0.122856
1024,1,16,0.637192
1024,1,16,0.629623
1024,1,16,0.630828
1024,1,16,0.629217
1024,1,16,0.63241
1024,1,16,0.627184
1024,1,16,0.62938
1024,1,16,0.627885
1024,1,16,0.638124
1024,1,16,0.623741
2048,1,16,5.16981
2048,1,16,5.14873
2048,1,16,5.12837
2048,1,16,5.15166
2048,1,16,5.14357
2048,1,16,5.15915
2048,1,16,5.14552
2048,1,16,5.20884
2048,1,16,5.19322
2048,1,16,5.17274
4096,1,16,66.3646
4096,1,16,66.3071
4096,1,16,66.3967
4096,1,16,66.3398
4096,1,16,66.2897
4096,1,16,66.1987
4096,1,16,66.3386
4096,1,16,66.2964
4096,1,16,66.5298
4096,1,16,66.4209
128,1,32,0.032525
128,1,32,0.0330347
128,1,32,0.0321771
128,1,32,0.0324093
128,1,32,0.0319041
128,1,32,0.0328616
128,1,32,0.0324819
128,1,32,0.0320199
128,1,32,0.0318157
128,1,32,0.0321526
256,1,32,0.0704123
256,1,32,0.07046
256,1,32,0.0709306
256,1,32,0.06989
256,1,32,0.0702556
256,1,32,0.0707121
256,1,32,0.0702552
256,1,32,0.0709405
256,1,32,0.0707865
256,1,32,0.0702689
512,1,32,0.192107
512,1,32,0.190383
512,1,32,0.191325
512,1,32,0.192822
512,1,32,0.191174
512,1,32,0.190656
