128,4,pd,0.0922414
128,4,pd,0.0902463
128,4,pd,0.0915357
128,4,pd,0.0908218
128,4,pd,0.0900093
128,4,pd,0.0898046
128,4,pd,0.0895237
128,4,pd,0.0903712
128,4,pd,0.0911241
128,4,pd,0.0908134
256,4,pd,0.10917
256,4,pd,0.109119
256,4,pd,0.111212
256,4,pd,0.110107
256,4,pd,0.109494
256,4,pd,0.108114
256,4,pd,0.110875
256,4,pd,0.108823
256,4,pd,0.110858
256,4,pd,0.109802
512,4,pd,0.191897
512,4,pd,0.190029
512,4,pd,0.191775
512,4,pd,0.188031
512,4,pd,0.191302
512,4,pd,0.195557
512,4,pd,0.189321
512,4,pd,0.190889
512,4,pd,0.192449
512,4,pd,0.192878
1024,4,pd,0.538299
1024,4,pd,0.540648
1024,4,pd,0.554898
1024,4,pd,0.554054
1024,4,pd,0.503425
1024,4,pd,0.54466
1024,4,pd,0.527613
1024,4,pd,0.539287
1024,4,pd,0.545773
1024,4,pd,0.533334
2048,4,pd,2.45147
2048,4,pd,2.45536
2048,4,pd,2.49593
2048,4,pd,2.48479
2048,4,pd,2.47826
2048,4,pd,2.4602
2048,4,pd,2.4781
2048,4,pd,2.4439
2048,4,pd,2.47298
2048,4,pd,2.47865
128,8,pd,0.0912827
128,8,pd,0.0910248
128,8,pd,0.0898185
128,8,pd,0.0996218
128,8,pd,0.0911663
128,8,pd,0.090519
128,8,pd,0.0895457
128,8,pd,0.0904954
128,8,pd,0.0901571
128,8,pd,0.0904301
256,8,pd,0.105787
256,8,pd,0.106677
256,8,pd,0.106101
256,8,pd,0.10817
256,8,pd,0.109806
256,8,pd,0.105711
256,8,pd,0.105396
256,8,pd,0.107389
256,8,pd,0.118281
256,8,pd,0.105075
512,8,pd,0.175333
512,8,pd,0.175225
512,8,pd,0.177279
512,8,pd,0.174441
512,8,pd,0.173504
512,8,pd,0.172486
512,8,pd,0.175286
512,8,pd,0.17514
512,8,pd,0.175516
512,8,pd,0.171715
1024,8,pd,0.473456
1024,8,pd,0.502347
1024,8,pd,0.475686
1024,8,pd,0.474623
1024,8,pd,0.472965
1024,8,pd,0.498539
1024,8,pd,0.473836
1024,8,pd,0.489629
1024,8,pd,0.476776
1024,8,pd,0.474131
2048,8,pd,1.81852
2048,8,pd,2.39393
2048,8,pd,1.81525
2048,8,pd,1.79278
2048,8,pd,1.81498
2048,8,pd,1.79725
2048,8,pd,1.81042
2048,8,pd,1.80011
2048,8,pd,1.81056
2048,8,pd,1.87599
128,12,pd,0.104411
128,12,pd,0.0941439
128,12,pd,0.108013
128,12,pd,0.0937266
128,12,pd,0.0929938
128,12,pd,0.102083
128,12,pd,0.0925851
128,12,pd,0.0923235
128,12,pd,0.0915858
128,12,pd,0.0928552
256,12,pd,0.112488
256,12,pd,0.123905
256,12,pd,0.110147
256,12,pd,0.110063
256,12,pd,0.112057
256,12,pd,0.111449
256,12,pd,0.112161
256,12,pd,0.11309
256,12,pd,0.110759
256,12,pd,0.111343
512,12,pd,0.188159
512,12,pd,0.200227
512,12,pd,0.185718
512,12,pd,0.183205
512,12,pd,0.187712
512,12,pd,0.195391
512,12,pd,0.188747
512,12,pd,0.186268
512,12,pd,0.182317
512,12,pd,0.191332
1024,12,pd,0.47574
1024,12,pd,0.487399
1024,12,pd,0.503596
1024,12,pd,0.48747
1024,12,pd,0.476768
1024,12,pd,0.500345
1024,12,pd,0.4845
1024,12,pd,0.475009
1024,12,pd,0.493678
1024,12,pd,0.494249
2048,12,pd,1.91546
2048,12,pd,1.76896
2048,12,pd,1.77876
2048,12,pd,1.74471
2048,12,pd,1.79691
2048,12,pd,1.78461
2048,12,pd,1.77708
2048,12,pd,1.73213
2048,12,pd,1.74862
2048,12,pd,1.74241
128,16,pd,0.0961299
128,16,pd,0.0953713
128,16,pd,0.0961135
128,16,pd,0.0951521
128,16,pd,0.0968923
128,16,pd,0.0947939
128,16,pd,0.0955168
128,16,pd,0.0959091
128,16,pd,0.0958449
128,16,pd,0.0962675
256,16,pd,0.116541
256,16,pd,0.136312
256,16,pd,0.119701
256,16,pd,0.120945
256,16,pd,0.117967
256,16,pd,0.118947
