128,1,0.00103691
128,1,0.00104449
128,1,0.00103896
128,1,0.00102748
128,1,0.00103149
128,1,0.00103161
128,1,0.0010306
128,1,0.00103855
128,1,0.00103155
128,1,0.00102547
256,1,0.00660839
256,1,0.00664619
256,1,0.00666505
256,1,0.00651127
256,1,0.00661845
256,1,0.00652982
256,1,0.00669437
256,1,0.00671109
256,1,0.00668434
256,1,0.00669928
512,1,0.0634981
512,1,0.0633563
512,1,0.0634975
512,1,0.0634192
512,1,0.0635927
512,1,0.0635367
512,1,0.0634151
512,1,0.0637529
512,1,0.0634015
512,1,0.0634727
1024,1,0.479466
1024,1,0.489907
1024,1,0.490842
1024,1,0.479258
1024,1,0.485557
1024,1,0.485405
1024,1,0.479068
1024,1,0.489715
1024,1,0.481987
1024,1,0.479492
2048,1,3.83202
2048,1,3.80556
2048,1,3.89298
2048,1,3.8392
2048,1,3.89266
2048,1,3.85979
2048,1,3.89517
2048,1,3.89208
2048,1,3.85851
2048,1,3.81173
4096,1,72.6789
4096,1,72.5961
4096,1,72.6103
4096,1,72.6082
4096,1,72.5249
4096,1,72.4821
4096,1,72.4341
4096,1,72.5333
4096,1,72.3107
4096,1,72.4242
