128,41,0.00152984
128,41,0.00150848
128,41,0.00155493
128,41,0.0015567
128,41,0.00151385
128,41,0.00151598
128,41,0.00153932
128,41,0.00153475
128,41,0.00154268
128,41,0.00155166
256,41,0.00322526
256,41,0.00322665
256,41,0.00323424
256,41,0.00322024
256,41,0.00328459
256,41,0.00325197
256,41,0.00322516
256,41,0.00323598
256,41,0.0032649
256,41,0.00329228
512,41,0.00964006
512,41,0.00950853
512,41,0.009505
512,41,0.00949536
512,41,0.00943929
512,41,0.00936819
512,41,0.00943323
512,41,0.00958069
512,41,0.00953625
512,41,0.00947898
1024,41,0.0470982
1024,41,0.0422321
1024,41,0.0427231
1024,41,0.0432994
1024,41,0.0427648
1024,41,0.042652
1024,41,0.0427477
1024,41,0.0427652
1024,41,0.0430929
1024,41,0.0424892
2048,41,0.254106
2048,41,0.253706
2048,41,0.253719
2048,41,0.253726
2048,41,0.304793
2048,41,0.254043
2048,41,0.253765
2048,41,0.255104
2048,41,0.258017
2048,41,0.264428
4096,41,4.18296
4096,41,4.15241
4096,41,4.15668
4096,41,4.11906
4096,41,4.119
4096,41,4.14827
4096,41,4.12179
4096,41,4.18049
4096,41,4.12341
4096,41,4.17872
128,42,0.00248521
128,42,0.0020754
128,42,0.00209836
128,42,0.00210028
128,42,0.00210694
128,42,0.00210756
128,42,0.002072
128,42,0.00211728
128,42,0.00209405
128,42,0.00209417
256,42,0.00434704
256,42,0.00440545
256,42,0.00500317
256,42,0.00433039
256,42,0.00440979
256,42,0.00450343
256,42,0.00524943
256,42,0.00535612
256,42,0.00442051
256,42,0.004723
512,42,0.0118862
512,42,0.0860155
512,42,0.0122446
512,42,0.0115989
512,42,0.0116897
512,42,0.0119499
512,42,0.0180605
512,42,0.011778
512,42,0.0117908
512,42,0.011984
1024,42,0.0485674
1024,42,0.0484115
1024,42,0.047964
1024,42,0.048813
1024,42,0.0480381
1024,42,0.0484921
1024,42,0.046709
1024,42,0.0472079
1024,42,0.0476748
1024,42,0.0485086
2048,42,0.256127
2048,42,0.31466
2048,42,0.257102
2048,42,0.257828
2048,42,0.25849
2048,42,0.266543
2048,42,0.260197
2048,42,0.257126
2048,42,0.25902
2048,42,0.260002
4096,42,3.67961
4096,42,3.6692
4096,42,3.66727
4096,42,3.66703
4096,42,3.70844
4096,42,3.69763
4096,42,3.70581
4096,42,3.61108
4096,42,4.62986
4096,42,3.70508
128,44,0.00610745
128,44,0.00608023
128,44,0.00617239
128,44,0.00603418
128,44,0.0060002
128,44,0.00625374
128,44,0.00594013
128,44,0.00636459
128,44,0.00704197
128,44,0.00600702
256,44,0.0117204
256,44,0.0115288
256,44,0.0114388
256,44,0.0116921
256,44,0.0113957
256,44,0.0121569
256,44,0.0114094
256,44,0.0115256
256,44,0.0113399
256,44,0.011614
512,44,0.0263847
512,44,0.0456263
512,44,0.0268489
512,44,0.026556
512,44,0.0260466
512,44,0.0258384
512,44,0.0263424
512,44,0.0263956
512,44,0.0262855
512,44,0.0262457
1024,44,0.0767505
1024,44,0.0780747
1024,44,0.0757406
1024,44,0.0776248
1024,44,0.0764524
1024,44,0.103278
1024,44,0.0765646
1024,44,0.0779851
1024,44,0.0763305
1024,44,0.0779005
2048,44,0.305834
2048,44,0.305999
2048,44,0.30479
2048,44,0.306121
2048,44,0.306499
2048,44,0.311901
2048,44,0.306687
2048,44,0.344541
2048,44,0.303914
2048,44,0.316065
4096,44,3.79719
4096,44,3.75005
4096,44,3.81094
4096,44,3.74601
4096,44,3.78084
4096,44,3.79324
4096,44,3.7587
4096,44,3.837
4096,44,3.74368
4096,44,3.79368
128,48,0.0103737
128,48,0.0101221
128,48,0.00995509
128,48,0.0102199
128,48,0.00985203
128,48,0.0101758
128,48,0.00994158
128,48,0.00997582
128,48,0.0180443
128,48,0.00987667
256,48,0.0200323
256,48,0.0191158
256,48,0.0198837
256,48,0.0189776
256,48,0.0198799
256,48,0.020496
256,48,0.0201412
256,48,0.0210701
256,48,0.0199324
256,48,0.0319887
512,48,0.0425463
512,48,0.0417402
512,48,0.0415388
512,48,0.0423367
512,48,0.0421504
512,48,0.0422702
512,48,0.0433877
512,48,0.0420682
512,48,0.0421236
512,48,0.0418194
1024,48,0.107063
1024,48,0.106369
1024,48,0.108296
