128,1,1,ps,0.00145713
128,1,1,ps,0.0152098
128,1,1,ps,0.00230942
128,2,1,ps,1.21421
128,2,1,ps,1.21356
128,2,1,ps,1.21596
128,4,1,ps,2.91557
128,4,1,ps,2.85889
128,4,1,ps,2.91651
128,8,1,ps,5.38748
128,8,1,ps,5.49489
128,8,1,ps,5.41654
128,16,1,ps,10.3271
128,16,1,ps,10.3967
128,16,1,ps,9.98706
128,32,1,ps,19.321
128,32,1,ps,19.1976
128,32,1,ps,19.7223
256,1,1,ps,0.00684956
256,1,1,ps,0.00638252
256,1,1,ps,0.00596119
256,2,1,ps,2.40674
256,2,1,ps,2.42066
256,2,1,ps,2.40044
256,4,1,ps,5.67183
256,4,1,ps,5.74764
256,4,1,ps,5.72905
256,8,1,ps,10.5969
256,8,1,ps,10.6375
256,8,1,ps,10.7927
256,16,1,ps,19.9604
256,16,1,ps,20.4044
256,16,1,ps,20.0284
256,32,1,ps,38.9489
256,32,1,ps,38.9246
256,32,1,ps,38.8981
512,1,1,ps,0.0222134
512,1,1,ps,0.0198728
512,1,1,ps,0.0198677
512,2,1,ps,4.78456
512,2,1,ps,4.77058
512,2,1,ps,4.78403
512,4,1,ps,11.2861
512,4,1,ps,11.3698
512,4,1,ps,11.3898
512,8,1,ps,21.3633
512,8,1,ps,21.302
512,8,1,ps,21.2692
512,16,1,ps,40.1698
512,16,1,ps,40.0099
512,16,1,ps,40.8857
512,32,1,ps,76.7114
512,32,1,ps,77.6032
512,32,1,ps,77.6806
1024,1,1,ps,0.204656
1024,1,1,ps,0.166936
1024,1,1,ps,0.16713
1024,2,1,ps,9.68068
1024,2,1,ps,9.70935
1024,2,1,ps,9.65731
1024,4,1,ps,22.7328
1024,4,1,ps,22.6599
1024,4,1,ps,22.4636
1024,8,1,ps,42.5429
1024,8,1,ps,42.3415
1024,8,1,ps,42.5734
1024,16,1,ps,80.7298
1024,16,1,ps,81.1862
1024,16,1,ps,80.6185
1024,32,1,ps,155.635
1024,32,1,ps,155.751
1024,32,1,ps,155.64
2048,1,1,ps,1.94871
2048,1,1,ps,1.97277
2048,1,1,ps,2.00569
2048,2,1,ps,20.6074
2048,2,1,ps,20.7322
2048,2,1,ps,20.5666
2048,4,1,ps,46.2149
2048,4,1,ps,46.0609
2048,4,1,ps,46.0434
2048,8,1,ps,85.7789
2048,8,1,ps,86.0682
2048,8,1,ps,86.9195
2048,16,1,ps,160.193
2048,16,1,ps,162.18
2048,16,1,ps,163.101
2048,32,1,ps,312.566
2048,32,1,ps,314.275
2048,32,1,ps,310.183
4096,1,1,ps,19.1257
4096,1,1,ps,19.1482
4096,1,1,ps,19.0913
4096,2,1,ps,54.85
4096,2,1,ps,54.9163
4096,2,1,ps,54.9396
4096,4,1,ps,102.449
4096,4,1,ps,104.075
4096,4,1,ps,103.035
4096,8,1,ps,183.183
4096,8,1,ps,182.135
4096,8,1,ps,184.123
4096,16,1,ps,332.337
4096,16,1,ps,330.16
4096,16,1,ps,331.239
4096,32,1,ps,628.087
4096,32,1,ps,625.924
