128,8,0.000748024
128,8,0.000752207
128,8,0.000737625
128,8,0.000808149
128,8,0.000777453
128,8,0.000769865
128,8,0.000792817
128,8,0.000738306
128,8,0.000797818
128,8,0.000770494
256,8,0.00206513
256,8,0.00210906
256,8,0.00215022
256,8,0.00208762
256,8,0.0021166
256,8,0.00208312
256,8,0.00213371
256,8,0.00208244
256,8,0.00213356
256,8,0.00211466
512,8,0.0103619
512,8,0.0104303
512,8,0.0102502
512,8,0.0100804
512,8,0.0104477
512,8,0.0102264
512,8,0.0104404
512,8,0.0101218
512,8,0.0101533
512,8,0.010195
1024,8,0.0726529
1024,8,0.0713242
1024,8,0.073393
1024,8,0.0722453
1024,8,0.0722112
1024,8,0.0719212
1024,8,0.0725857
1024,8,0.0723145
1024,8,0.0726476
1024,8,0.0717626
2048,8,0.527906
2048,8,0.533679
2048,8,0.533343
2048,8,0.538314
2048,8,0.53486
2048,8,0.529495
2048,8,0.528026
2048,8,0.529874
2048,8,0.527368
2048,8,0.53227
4096,8,10.9039
4096,8,10.9123
4096,8,10.8878
4096,8,10.9383
4096,8,10.8811
4096,8,10.9001
4096,8,10.9264
4096,8,10.9014
4096,8,10.8901
4096,8,10.9129
